Date,Temp,Cond,pH
2020-Jun-14 22:59,19.92,122.10,7.00
2020-Jun-14 23:59,19.77,118.20,7.00
2020-Jun-15 00:59,19.63,118.50,7.00
2020-Jun-15 01:59,19.50,120.50,7.00
2020-Jun-15 02:59,19.38,117.80,7.00
2020-Jun-15 03:59,19.45,116.70,7.00
2020-Jun-15 04:59,19.56,115.70,7.01
2020-Jun-15 05:59,19.63,115.80,7.00
2020-Jun-15 06:59,19.70,117.10,7.00
2020-Jun-15 07:59,19.77,124.00,7.00
2020-Jun-15 08:59,19.87,124.10,7.00
2020-Jun-15 09:59,19.97,118.40,7.01
2020-Jun-15 10:59,20.12,118.30,7.01
2020-Jun-15 11:59,20.24,120.00,7.00
2020-Jun-15 12:59,20.33,118.90,7.00
2020-Jun-15 13:59,20.40,120.10,7.01
2020-Jun-15 14:59,20.46,120.20,7.00
2020-Jun-15 15:59,20.52,119.40,7.01
2020-Jun-15 16:59,20.57,119.40,7.01
2020-Jun-15 17:59,20.64,122.20,7.00
2020-Jun-15 18:59,20.61,120.80,7.00
2020-Jun-15 19:59,20.55,122.60,7.00
2020-Jun-15 20:59,20.48,120.50,7.00
2020-Jun-15 21:59,20.37,122.60,7.00
2020-Jun-15 22:59,20.25,120.60,7.00
2020-Jun-15 23:59,20.12,121.30,7.00
2020-Jun-16 00:59,19.99,121.60,7.00
2020-Jun-16 01:59,19.87,120.80,7.00
2020-Jun-16 02:59,19.76,120.70,7.00
2020-Jun-16 03:59,19.83,118.90,7.01
2020-Jun-16 04:59,19.91,120.40,7.00
2020-Jun-16 05:59,19.98,119.70,7.00
2020-Jun-16 06:59,20.04,120.20,7.01
2020-Jun-16 07:59,20.10,121.20,7.01
2020-Jun-16 08:59,20.16,120.80,7.00
2020-Jun-16 09:59,20.25,120.40,7.00
2020-Jun-16 10:59,20.37,122.00,7.00
2020-Jun-16 11:59,20.44,127.30,7.00
2020-Jun-16 12:59,20.49,127.40,7.00
2020-Jun-16 13:59,20.52,128.70,7.00
2020-Jun-16 14:59,20.51,129.60,7.00
2020-Jun-16 15:59,20.45,128.30,7.00
2020-Jun-16 16:59,20.36,128.90,7.00
2020-Jun-16 17:59,20.35,129.40,7.00
2020-Jun-16 18:59,20.31,129.40,7.00
2020-Jun-16 19:59,20.24,128.80,7.00
2020-Jun-16 20:59,20.16,128.50,7.00
2020-Jun-16 21:59,20.06,128.10,7.00
2020-Jun-16 22:59,19.96,128.60,7.00
2020-Jun-16 23:59,19.84,128.20,7.00
2020-Jun-17 00:59,19.72,127.80,7.00
2020-Jun-17 01:59,19.60,127.90,7.01
2020-Jun-17 02:59,19.47,127.80,7.01
2020-Jun-17 03:59,19.46,127.40,7.00
2020-Jun-17 04:59,19.45,127.60,7.00
2020-Jun-17 05:59,19.43,127.60,7.00
2020-Jun-17 06:59,19.40,128.30,7.00
2020-Jun-17 07:59,19.37,128.20,7.00
2020-Jun-17 08:59,19.33,127.10,7.00
2020-Jun-17 09:59,19.34,126.90,7.00
2020-Jun-17 10:59,19.41,128.10,7.00
2020-Jun-17 11:59,19.42,127.80,7.00
2020-Jun-17 12:59,19.42,127.50,7.00
2020-Jun-17 13:59,19.43,128.20,7.00
2020-Jun-17 14:59,19.42,128.30,7.00
2020-Jun-17 15:59,19.37,127.90,7.00
2020-Jun-17 16:59,19.31,128.40,7.01
2020-Jun-17 17:59,19.32,129.00,7.00
